N	blockSize	algorithm	layout	dim	k	privCopies	itemsPerThread	seed	totalTime	normalizedTime
4M	256	cuda_fake	aos	4	256	2	1	4	1.23864	0.0738286
4M	256	cuda_fake	aos	4	256	2	1	5	1.23892	0.0738456
4M	256	cuda_fake	aos	4	256	4	1	1	1.2405	0.0739394
4M	256	cuda_fake	aos	4	256	4	1	2	1.23869	0.0738319
4M	256	cuda_fake	aos	4	256	4	1	3	1.2385	0.0738202
4M	256	cuda_fake	aos	4	256	4	1	4	1.23909	0.0738556
4M	256	cuda_fake	aos	4	256	4	1	5	1.23841	0.0738147
4M	256	cuda_fake	aos	4	256	8	1	1	1.23892	0.0738456
4M	256	cuda_fake	aos	4	256	8	1	2	1.24034	0.0739298
4M	256	cuda_fake	aos	4	256	8	1	3	1.23993	0.0739055
4M	256	cuda_fake	aos	4	256	8	1	4	1.23974	0.0738941
4M	256	cuda_fake	aos	4	256	8	1	5	1.23903	0.0738522
4M	256	cuda_fake	aos	4	256	16	1	1	1.24098	0.0739679
4M	256	cuda_fake	aos	4	256	16	1	2	1.24259	0.074064
4M	256	cuda_fake	aos	4	256	16	1	3	1.24026	0.0739255
4M	256	cuda_fake	aos	4	256	16	1	4	1.23998	0.0739084
4M	256	cuda_fake	aos	4	256	16	1	5	1.24085	0.0739606
4M	256	cuda_fake	aos	4	256	32	1	1	1.24086	0.0739608
4M	256	cuda_fake	aos	4	256	32	1	2	1.24263	0.0740663
4M	256	cuda_fake	aos	4	256	32	1	3	1.24223	0.0740427
4M	256	cuda_fake	aos	4	256	32	1	4	1.24022	0.0739227
4M	256	cuda_fake	aos	4	256	32	1	5	1.24221	0.0740414
4M	256	cuda_fake	aos	4	256	64	1	1	1.24377	0.0741342
4M	256	cuda_fake	aos	4	256	64	1	2	1.24161	0.0740057
4M	256	cuda_fake	aos	4	256	64	1	3	1.24469	0.0741891
4M	256	cuda_fake	aos	4	256	64	1	4	1.24276	0.074074
4M	256	cuda_fake	aos	4	256	64	1	5	1.24357	0.0741228
4M	256	cuda_fake	aos	4	1024	1	1	1	1.02654	0.0611863
4M	256	cuda_fake	aos	4	1024	1	1	2	1.02572	0.0611376
4M	256	cuda_fake	aos	4	1024	1	1	3	1.02489	0.0610882
4M	256	cuda_fake	aos	4	1024	1	1	4	1.02698	0.0612129
4M	256	cuda_fake	aos	4	1024	1	1	5	1.02553	0.0611264
4M	256	cuda_fake	aos	4	1024	2	1	1	1.23863	0.0738278
4M	256	cuda_fake	aos	4	1024	2	1	2	1.23959	0.0738854
4M	256	cuda_fake	aos	4	1024	2	1	3	1.24137	0.0739917
4M	256	cuda_fake	aos	4	1024	2	1	4	1.23778	0.0737773
4M	256	cuda_fake	aos	4	1024	2	1	5	1.23896	0.0738477
4M	256	cuda_fake	aos	4	1024	4	1	1	1.23936	0.0738718
4M	256	cuda_fake	aos	4	1024	4	1	2	1.23886	0.0738417
4M	256	cuda_fake	aos	4	1024	4	1	3	1.23933	0.0738698
4M	256	cuda_fake	aos	4	1024	4	1	4	1.24032	0.0739288
4M	256	cuda_fake	aos	4	1024	4	1	5	1.23931	0.0738688
4M	256	cuda_fake	aos	4	1024	8	1	1	1.24086	0.0739612
4M	256	cuda_fake	aos	4	1024	8	1	2	1.23796	0.073788
4M	256	cuda_fake	aos	4	1024	8	1	3	1.24075	0.0739545
4M	256	cuda_fake	aos	4	1024	8	1	4	1.24197	0.0740271
4M	256	cuda_fake	aos	4	1024	8	1	5	1.24079	0.0739566
4M	256	cuda_fake	aos	4	1024	16	1	1	1.23836	0.0738122
4M	256	cuda_fake	aos	4	1024	16	1	2	1.23983	0.0738996
4M	256	cuda_fake	aos	4	1024	16	1	3	1.23907	0.0738541
4M	256	cuda_fake	aos	4	1024	16	1	4	1.2393	0.0738679
4M	256	cuda_fake	aos	4	1024	16	1	5	1.24049	0.0739389
4M	256	cuda_fake	aos	4	1024	32	1	1	1.24202	0.0740299
4M	256	cuda_fake	aos	4	1024	32	1	2	1.24096	0.0739672
4M	256	cuda_fake	aos	4	1024	32	1	3	1.24012	0.0739167
4M	256	cuda_fake	aos	4	1024	32	1	4	1.24006	0.0739134
4M	256	cuda_fake	aos	4	1024	32	1	5	1.24076	0.0739551
4M	256	cuda_fake	aos	4	1024	64	1	1	1.24412	0.0741556
4M	256	cuda_fake	aos	4	1024	64	1	2	1.24393	0.0741441
4M	256	cuda_fake	aos	4	1024	64	1	3	1.24301	0.0740893
4M	256	cuda_fake	aos	4	1024	64	1	4	1.24447	0.0741764
4M	256	cuda_fake	aos	4	1024	64	1	5	1.24326	0.074104
4M	256	cuda_fake	aos	4	4096	1	1	1	0.9994	0.0595689
4M	256	cuda_fake	aos	4	4096	1	1	2	1.001	0.0596641
4M	256	cuda_fake	aos	4	4096	1	1	3	1.00195	0.0597211
4M	256	cuda_fake	aos	4	4096	1	1	4	1.00024	0.0596192
4M	256	cuda_fake	aos	4	4096	1	1	5	0.999894	0.0595983
4M	256	cuda_fake	aos	4	4096	2	1	1	1.23718	0.0737416
4M	256	cuda_fake	aos	4	4096	2	1	2	1.23875	0.0738353
4M	256	cuda_fake	aos	4	4096	2	1	3	1.23884	0.0738404
4M	256	cuda_fake	aos	4	4096	2	1	4	1.23781	0.0737793
4M	256	cuda_fake	aos	4	4096	2	1	5	1.23908	0.0738552
4M	256	cuda_fake	aos	4	4096	4	1	1	1.23817	0.0738008
4M	256	cuda_fake	aos	4	4096	4	1	2	1.23874	0.0738345
4M	256	cuda_fake	aos	4	4096	4	1	3	1.23858	0.0738252
4M	256	cuda_fake	aos	4	4096	4	1	4	1.23867	0.0738308
4M	256	cuda_fake	aos	4	4096	4	1	5	1.23893	0.0738462
4M	256	cuda_fake	aos	4	4096	8	1	1	1.2408	0.0739577
4M	256	cuda_fake	aos	4	4096	8	1	2	1.23975	0.073895
4M	256	cuda_fake	aos	4	4096	8	1	3	1.23964	0.0738882
4M	256	cuda_fake	aos	4	4096	8	1	4	1.24011	0.0739161
4M	256	cuda_fake	aos	4	4096	8	1	5	1.23916	0.0738598
4M	256	cuda_fake	aos	4	4096	16	1	1	1.24189	0.0740222
4M	256	cuda_fake	aos	4	4096	16	1	2	1.24014	0.0739179
4M	256	cuda_fake	aos	4	4096	16	1	3	1.24266	0.0740681
4M	256	cuda_fake	aos	4	4096	16	1	4	1.2426	0.0740647
4M	256	cuda_fake	aos	4	4096	16	1	5	1.24178	0.0740159
4M	256	cuda_fake	aos	4	4096	32	1	1	1.24316	0.0740982
