N	blockSize	algorithm	layout	dim	k	privCopies	itemsPerThread	seed	totalTime	normalizedTime
8M	256	cuda_fake	aos	4	256	2	1	3	0.449308	0.0133904
8M	256	cuda_fake	aos	4	256	2	1	4	0.449376	0.0133924
8M	256	cuda_fake	aos	4	256	2	1	5	0.450024	0.0134118
8M	256	cuda_fake	aos	4	256	4	1	1	0.449954	0.0134097
8M	256	cuda_fake	aos	4	256	4	1	2	0.449993	0.0134108
8M	256	cuda_fake	aos	4	256	4	1	3	0.449824	0.0134058
8M	256	cuda_fake	aos	4	256	4	1	4	0.45083	0.0134358
8M	256	cuda_fake	aos	4	256	4	1	5	0.450754	0.0134335
8M	256	cuda_fake	aos	4	256	8	1	1	0.368796	0.010991
8M	256	cuda_fake	aos	4	256	8	1	2	0.368287	0.0109758
8M	256	cuda_fake	aos	4	256	8	1	3	0.37276	0.0111091
8M	256	cuda_fake	aos	4	256	8	1	4	0.368763	0.01099
8M	256	cuda_fake	aos	4	256	8	1	5	0.367906	0.0109645
8M	256	cuda_fake	aos	4	256	16	1	1	0.368816	0.0109916
8M	256	cuda_fake	aos	4	256	16	1	2	0.368807	0.0109913
8M	256	cuda_fake	aos	4	256	16	1	3	0.368941	0.0109953
8M	256	cuda_fake	aos	4	256	16	1	4	0.369098	0.011
8M	256	cuda_fake	aos	4	256	16	1	5	0.368711	0.0109884
8M	256	cuda_fake	aos	4	256	32	1	1	0.370016	0.0110273
8M	256	cuda_fake	aos	4	256	32	1	2	0.370448	0.0110402
8M	256	cuda_fake	aos	4	256	32	1	3	0.370381	0.0110382
8M	256	cuda_fake	aos	4	256	32	1	4	0.369807	0.0110211
8M	256	cuda_fake	aos	4	256	32	1	5	0.370325	0.0110365
8M	256	cuda_fake	aos	4	256	64	1	1	0.374268	0.0111541
8M	256	cuda_fake	aos	4	256	64	1	2	0.373392	0.0111279
8M	256	cuda_fake	aos	4	256	64	1	3	0.373553	0.0111327
8M	256	cuda_fake	aos	4	256	64	1	4	0.373092	0.011119
8M	256	cuda_fake	aos	4	256	64	1	5	0.373411	0.0111285
8M	256	cuda_fake	aos	4	1024	1	1	1	0.236735	0.00705525
8M	256	cuda_fake	aos	4	1024	1	1	2	0.238137	0.00709704
8M	256	cuda_fake	aos	4	1024	1	1	3	0.237671	0.00708315
8M	256	cuda_fake	aos	4	1024	1	1	4	0.237568	0.00708008
8M	256	cuda_fake	aos	4	1024	1	1	5	0.23742	0.00707567
8M	256	cuda_fake	aos	4	1024	2	1	1	0.366868	0.0109335
8M	256	cuda_fake	aos	4	1024	2	1	2	0.367449	0.0109508
8M	256	cuda_fake	aos	4	1024	2	1	3	0.367258	0.0109451
8M	256	cuda_fake	aos	4	1024	2	1	4	0.367069	0.0109395
8M	256	cuda_fake	aos	4	1024	2	1	5	0.366915	0.0109349
8M	256	cuda_fake	aos	4	1024	4	1	1	0.367419	0.0109499
8M	256	cuda_fake	aos	4	1024	4	1	2	0.367104	0.0109406
8M	256	cuda_fake	aos	4	1024	4	1	3	0.367943	0.0109656
8M	256	cuda_fake	aos	4	1024	4	1	4	0.366787	0.0109311
8M	256	cuda_fake	aos	4	1024	4	1	5	0.368032	0.0109682
8M	256	cuda_fake	aos	4	1024	8	1	1	0.369247	0.0110044
8M	256	cuda_fake	aos	4	1024	8	1	2	0.369437	0.0110101
8M	256	cuda_fake	aos	4	1024	8	1	3	0.370348	0.0110372
8M	256	cuda_fake	aos	4	1024	8	1	4	0.369294	0.0110058
8M	256	cuda_fake	aos	4	1024	8	1	5	0.367834	0.0109623
8M	256	cuda_fake	aos	4	1024	16	1	1	0.36891	0.0109944
